INFO 10/22/2024 12:25:36 PM | Client ('192.168.0.51', 51429) connected.
INFO 10/22/2024 12:25:37 PM | Client ('192.168.0.51', 51429) disconnected and cleaned up.
INFO 10/22/2024 12:27:33 PM | Client ('192.168.0.51', 51494) connected.
INFO 10/22/2024 12:27:38 PM | Client ('192.168.0.51', 51494) disconnected and cleaned up.
INFO 10/22/2024 12:27:40 PM | Client ('192.168.0.51', 51500) connected.
INFO 10/22/2024 12:27:44 PM | Client ('192.168.0.51', 51500) disconnected and cleaned up.
INFO 10/22/2024 12:28:12 PM | Client ('192.168.0.51', 51518) connected.
INFO 10/22/2024 12:28:16 PM | Client ('192.168.0.51', 51518) disconnected and cleaned up.
INFO 10/22/2024 12:28:46 PM | Client ('192.168.0.51', 51539) connected.
INFO 10/22/2024 12:28:52 PM | Client ('192.168.0.51', 51539) disconnected and cleaned up.
INFO 10/22/2024 12:29:11 PM | Client ('192.168.0.51', 51553) connected.
INFO 10/22/2024 12:29:15 PM | Client ('192.168.0.51', 51553) disconnected and cleaned up.
INFO 10/22/2024 12:29:25 PM | Client ('192.168.0.51', 51564) connected.
INFO 10/22/2024 12:29:29 PM | Client ('192.168.0.51', 51564) disconnected and cleaned up.
INFO 10/22/2024 12:35:18 PM | Client ('192.168.0.51', 51754) connected.
INFO 10/22/2024 12:35:18 PM | Client ('192.168.0.51', 51754) disconnected and cleaned up.
INFO 10/22/2024 12:36:48 PM | Client ('192.168.0.51', 51796) connected.
INFO 10/22/2024 12:37:12 PM | Client ('192.168.0.51', 51796) disconnected and cleaned up.
INFO 10/22/2024 12:39:42 PM | Client ('192.168.0.51', 51882) connected.
INFO 10/22/2024 12:39:45 PM | Client ('192.168.0.51', 51882) disconnected and cleaned up.
INFO 10/22/2024 12:40:13 PM | Client ('192.168.0.51', 51903) connected.
INFO 10/22/2024 12:40:24 PM | Client ('192.168.0.51', 51903) disconnected and cleaned up.
INFO 10/22/2024 12:41:44 PM | Client ('192.168.0.51', 51950) connected.
INFO 10/22/2024 12:41:46 PM | Client ('192.168.0.51', 51950) disconnected and cleaned up.
INFO 10/22/2024 12:42:26 PM | Client ('192.168.0.51', 51971) connected.
INFO 10/22/2024 12:42:31 PM | Client ('192.168.0.51', 51971) disconnected and cleaned up.
INFO 10/22/2024 12:42:44 PM | Client ('192.168.0.51', 51984) connected.
INFO 10/22/2024 12:42:46 PM | Client ('192.168.0.51', 51984) disconnected and cleaned up.
INFO 10/22/2024 12:42:53 PM | Client ('192.168.0.51', 51992) connected.
INFO 10/22/2024 12:42:54 PM | Client ('192.168.0.51', 51992) disconnected and cleaned up.
INFO 10/22/2024 12:43:41 PM | Client ('192.168.0.51', 52038) connected.
INFO 10/22/2024 12:43:49 PM | Client ('192.168.0.51', 52038) disconnected and cleaned up.
INFO 10/22/2024 12:44:28 PM | Client ('192.168.0.51', 52099) connected.
INFO 10/22/2024 12:44:30 PM | Client ('192.168.0.51', 52099) disconnected and cleaned up.
INFO 10/22/2024 12:55:59 PM | Client ('192.168.0.51', 52455) connected.
INFO 10/22/2024 12:56:05 PM | Client ('192.168.0.51', 52455) disconnected and cleaned up.
INFO 10/22/2024 12:57:03 PM | Client ('192.168.0.51', 52495) connected.
INFO 10/22/2024 12:57:08 PM | Client ('192.168.0.51', 52495) disconnected and cleaned up.
INFO 10/22/2024 12:57:54 PM | Client ('192.168.0.51', 52541) connected.
INFO 10/22/2024 12:58:01 PM | Client ('192.168.0.51', 52541) disconnected and cleaned up.
INFO 10/22/2024 12:58:25 PM | Client ('192.168.0.51', 52562) connected.
INFO 10/22/2024 12:58:31 PM | Client ('192.168.0.51', 52562) disconnected and cleaned up.
INFO 10/22/2024 01:00:05 PM | Client ('192.168.0.51', 52617) connected.
INFO 10/22/2024 01:00:14 PM | Client ('192.168.0.51', 52617) disconnected and cleaned up.
INFO 10/22/2024 01:01:53 PM | Client ('192.168.0.51', 52674) connected.
INFO 10/22/2024 01:02:01 PM | Client ('192.168.0.51', 52674) disconnected and cleaned up.
INFO 10/22/2024 01:02:04 PM | Client ('192.168.0.51', 52691) connected.
INFO 10/22/2024 01:02:05 PM | Client ('192.168.0.51', 52691) disconnected and cleaned up.
INFO 10/22/2024 01:03:18 PM | Client ('192.168.0.51', 52731) connected.
INFO 10/22/2024 01:03:27 PM | Client ('192.168.0.51', 52731) disconnected and cleaned up.
INFO 10/22/2024 01:04:15 PM | Client ('192.168.0.51', 52768) connected.
INFO 10/22/2024 01:04:33 PM | Client ('192.168.0.51', 52768) disconnected and cleaned up.
INFO 10/22/2024 01:05:10 PM | Client ('192.168.0.51', 52803) connected.
INFO 10/22/2024 01:05:23 PM | Client ('192.168.0.51', 52803) disconnected and cleaned up.
INFO 10/22/2024 01:05:49 PM | Client ('192.168.0.51', 52829) connected.
INFO 10/22/2024 01:05:57 PM | Client ('192.168.0.51', 52829) disconnected and cleaned up.
INFO 10/22/2024 01:06:47 PM | Client ('192.168.0.51', 52862) connected.
INFO 10/22/2024 01:07:04 PM | Client ('192.168.0.51', 52862) disconnected and cleaned up.
